Governante;Data de entrada;Data de saída;Classificação;Ministérios;Partido da Pasta;Ministro;Data de entrada;Data de saída;Partido do Ministro
Collor;15/03/1990;29/12/1992;Secretaria;Meio Ambiente;sfp;José Lutzenberger;15/03/1990;22/03/1992;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Meio Ambiente;sfp;José Goldemberg (interino);23/03/1992;13/07/1992;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Meio Ambiente;sfp;Flávio Miragaia Perri;14/07/1992;01/10/1992;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Ciência e Tecnologia;sfp;José Goldemberg;15/03/1990;21/08/1991;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Ciência e Tecnologia;sfp;Edson Machado de Sousa;22/08/1991;02/04/1992;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Ciência e Tecnologia;ind;Hélio Jaguaribe;03/04/1992;01/10/1992;PSDB
Collor;15/03/1990;29/12/1992;Secretaria;Cultura;sfp;Ipojuca Pontes;15/03/1990;10/03/1991;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Cultura;sfp;Sérgio Rouanet;11/03/1991;01/10/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Ação Social;sfp;Margarida Procópio;15/03/1990;20/01/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Ação Social;PFL;Ricardo Fiúza;20/01/1992;01/10/1992;PFL
Collor;15/03/1990;29/12/1992;Secretaria;Desportos;sfp;Arthur Antunes Coimbra;15/03/1990;23/04/1991;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Desportos;sfp;Bernard Rajzman;24/04/1991;01/10/1992;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Assuntos Estratégicos;sfp;Pedro Paulo Leoni Ramos;15/03/1990;05/04/1992;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Assuntos Estratégicos;sfp;Eliezer Batista;06/04/1992;01/10/1992;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Governo;PFL;Jorge Konder Bornhausen;02/04/1992;10/09/1992;PFL
Collor;15/03/1990;29/12/1992;Secretaria;Governo;PFL;Ricardo Fiúza;11/09/1992;01/10/1992;PFL
Collor;15/03/1990;29/12/1992;Secretaria;Administração Federal;sfp;João Santana;15/03/1990;09/05/1991;sfp
Collor;15/03/1990;29/12/1992;Secretaria;Administração Federal;sfp;Carlos Moreira Garcia;10/05/1991;12/04/1992;sfp
Collor;15/03/1990;29/12/1992;Ministério;Integração Latino-Americana;PFL;Carlos Chiarelli;22/08/1991;24/01/1992;PFL
Collor;15/03/1990;29/12/1992;Ministério;Criança;sfp;Carlos Moreira Garcia;26/06/1992;01/10/1992;sfp
Itamar;29/12/1992;01/01/1995;Órgão da PR;Casa Civil;sfp;Henrique Hargreaves;05/10/1992;01/11/1993;sfp
Itamar;29/12/1992;01/01/1995;Órgão da PR;Casa Civil;sfp;Tarcísio Carlos de Almeida Cunha (interino);01/11/1993;08/02/1994;sfp
Itamar;29/12/1992;01/01/1995;Órgão da PR;Casa Civil;sfp;Henrique Hargreaves;08/02/1994;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Justiça;PDT;Maurício Corrêa;03/10/1992;02/04/1993;PDT
Itamar;29/12/1992;01/01/1995;Ministério;Justiça;ind;Maurício Corrêa;03/04/1993;04/04/1994;PDT
Itamar;29/12/1992;01/01/1995;Ministério;Justiça;sfp;Alexandre Dupeyrat;05/04/1994;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Exército;sfp;Zenildo Gonzaga Zoroastro de Lucena;05/10/1992;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Relações Exteriores;PSDB;Fernando Henrique Cardoso;05/10/1992;20/05/1993;PSDB
Itamar;29/12/1992;01/01/1995;Ministério;Relações Exteriores;sfp;Luís Felipe Lampreia (interino);20/05/1993;20/07/1993;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Relações Exteriores;sfp;Celso Amorim;20/07/1993;31/12/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Fazenda;PFL;Gustavo Krause;05/10/1992;16/12/1992;PFL
Itamar;29/12/1992;01/01/1995;Ministério;Fazenda;ind;Paulo Roberto Haddad;17/12/1992;01/03/1993;PSDB
Itamar;29/12/1992;01/01/1995;Ministério;Fazenda;PFL;Eliseu Resende;01/03/1993;19/05/1993;PFL
Itamar;29/12/1992;01/01/1995;Ministério;Fazenda;PSDB;Fernando Henrique Cardoso;19/05/1993;05/04/1994;PSDB
Itamar;29/12/1992;01/01/1995;Ministério;Fazenda;PSDB;Rubens Ricúpero;05/04/1994;07/09/1994;sfp
Itamar;29/12/1992;01/01/1995;Ministério;Fazenda;PSDB;Ciro Gomes;07/09/1994;31/12/1994;PSDB
